R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear,date
0.2,0.4,0.6,311,15.352,1,100,18623,26492,8290,46092,20251107
0.4,0.1,1.0,311,15.354,1,100,30669,7636,13876,46748,20251107
0.8,0.6,0.9,311,15.355,1,100,27747,39391,26147,65535,20251107
0.9,0.3,0.4,311,15.356,1,100,12648,20200,28423,50047,20251107
0.9,0.7,0.5,311,15.358,1,100,15633,45492,29034,65535,20251107
0.2,0.6,0.4,311,15.359,1,100,12695,39011,8286,50521,20251107
0.9,0.4,0.4,311,15.36,1,100,12713,26676,28458,54864,20251107
0.6,0.1,0.0,311,15.361,1,100,336,7531,19070,23323,20251107
0.8,0.8,0.4,311,15.363,1,100,12793,51949,26169,65535,20251107
0.9,0.5,0.5,311,15.364,1,100,15663,32804,28761,62941,20251107
0.3,0.3,0.2,311,15.365,1,100,6514,19963,10612,31314,20251107
0.5,0.7,0.4,311,15.367,1,100,12620,45391,17138,60723,20251107
0.8,0.6,1.0,311,15.368,1,100,30894,39336,26329,65535,20251107
0.0,0.4,0.4,311,15.369,1,100,12428,25855,2166,35912,20251107
0.5,0.5,0.5,312,8.254,1,19,16132,33936,18141,58868,20251108
0.3,0.0,0.6,312,8.256,1,19,18928,2097,11707,36131,20251108
0.4,0.3,0.3,312,8.257,1,19,10121,21187,14585,42017,20251108
0.8,0.3,0.8,312,8.259,1,19,25264,21561,26678,65150,20251108
0.2,0.2,0.9,312,8.26,1,19,28172,15155,9091,52421,20251108
0.1,0.1,0.5,312,8.261,1,19,15991,8805,5922,34209,20251108
0.5,0.8,0.9,312,8.262,1,19,28431,53486,18666,65535,20251108
0.3,0.3,1.0,312,8.264,1,19,31378,21371,12273,60640,20251108
0.4,0.5,0.9,312,8.265,1,19,28210,34146,15579,65535,20251108
0.8,0.2,0.3,312,8.267,1,19,10087,15293,26255,47875,20251108
0.8,1.0,0.6,312,8.268,1,19,19509,65535,27582,65535,20251108
0.6,0.6,0.3,312,8.269,1,19,10273,40450,20868,61603,20251108
0.8,0.5,0.6,312,8.271,1,19,19302,34280,26894,65535,20251108
0.3,0.6,0.2,312,8.272,1,19,7220,40220,11992,54381,20251108
0.4,0.2,0.5,312,8.273,1,19,16185,15015,14737,44259,20251108
0.1,0.8,0.3,312,8.274,1,19,10311,52814,6720,64411,20251108
0.7,0.2,0.4,312,8.276,1,19,13158,15128,23247,47646,20251108
0.0,0.1,0.1,312,8.277,1,19,3928,8256,2421,20157,20251108
0.6,0.4,0.2,312,8.278,1,19,7241,27599,20532,49724,20251108
0.1,0.3,0.4,312,8.28,1,19,13096,20924,5909,40220,20251108
0.0,0.4,0.9,312,8.281,1,19,28146,27486,3206,56871,20251108
0.4,0.8,0.8,312,8.282,1,19,25270,52871,15305,65535,20251108
0.7,1.0,0.9,312,8.284,1,19,28265,65535,24424,65535,20251108
0.6,0.7,0.3,312,8.285,1,19,10047,46154,20631,65316,20251108
0.4,0.9,0.4,312,8.286,1,19,13161,58995,15046,65535,20251108
0.5,0.5,0.5,312,14.532,1,99,15692,32819,16326,53827,20251108
0.9,0.3,0.8,312,14.533,1,99,24771,20555,27957,61419,20251108
0.9,0.6,0.7,312,14.535,1,99,21877,39655,28300,65535,20251108
0.1,0.2,0.6,312,14.536,1,99,18630,13698,4404,33766,20251108
1.0,1.0,0.7,312,14.537,1,99,21907,65281,32066,65535,20251108
0.3,0.6,0.0,312,14.539,1,99,524,38847,10480,42354,20251108
0.4,0.1,0.7,312,14.54,1,99,21701,7580,13021,38359,20251108
0.3,0.3,0.3,312,14.541,1,99,9565,19986,10194,34180,20251108
0.7,1.0,0.0,312,14.542,1,99,704,64773,22544,65535,20251108
0.7,0.5,0.4,312,14.544,1,99,12668,32809,22075,55033,20251108
0.8,0.7,0.8,312,14.545,1,99,24830,45692,25580,65535,20251108
0.6,0.2,0.3,312,14.546,1,99,9469,13677,18639,36207,20251108
0.4,0.2,0.2,312,14.547,1,99,6454,13561,12710,28941,20251108
0.5,0.0,0.9,312,14.549,1,99,27462,1138,15875,40620,20251108
0.5,0.5,0.8,312,14.55,1,99,24662,32911,16718,61817,20251108
0.2,0.4,0.5,312,14.551,1,99,15622,26237,7634,43779,20251108
0.5,0.5,0.5,312,14.957,1,99,15777,32918,16452,54081,20251108
0.2,0.3,0.6,312,14.958,1,99,18830,20429,7551,42133,20251108
0.9,0.4,0.4,312,14.959,1,99,12857,26817,28056,55797,20251108
0.1,0.2,0.2,312,14.961,1,99,6607,13742,4399,23988,20251108
0.8,0.2,0.7,312,14.962,1,99,21872,14427,25047,52875,20251108
0.4,0.2,0.3,312,14.963,1,99,9786,14067,13010,32237,20251108
0.7,0.4,0.9,312,14.964,1,99,27865,26988,22731,65535,20251108
0.9,0.4,0.2,312,14.965,1,99,6780,26703,27933,51170,20251108
0.7,0.3,0.3,312,14.967,1,99,9757,20276,21883,43938,20251108
0.8,0.4,0.4,312,14.968,1,99,12780,26754,25090,52835,20251108
0.2,0.8,0.6,312,14.969,1,99,18892,52051,8356,65535,20251108
0.9,0.6,0.5,312,14.97,1,99,15973,39673,28379,65535,20251108
0.5,0.1,0.4,312,14.972,1,99,12698,7766,15848,33395,20251108
0.1,0.2,0.2,312,14.973,1,99,6591,13719,4372,23933,20251108
0.8,0.6,0.4,312,14.974,1,99,12853,39485,25402,63775,20251108
0.9,0.7,0.3,312,14.975,1,99,10002,46062,28391,65535,20251108
0.9,0.1,0.1,312,14.977,1,99,3730,7827,27383,34088,20251108
0.1,0.5,0.5,312,14.978,1,99,15744,32794,4998,47292,20251108
0.0,0.5,0.4,312,14.979,1,99,12755,32708,1774,41833,20251108
0.5,0.7,0.8,312,14.98,1,99,25094,45949,16953,65535,20251108
0.9,0.7,0.0,312,14.981,1,99,814,45695,28194,61960,20251108
0.2,0.7,0.6,312,14.983,1,99,19023,45800,8149,62516,20251108
0.6,0.4,0.9,312,14.984,1,99,27889,26839,19532,62898,20251108
0.6,0.1,0.4,312,14.985,1,99,12765,7810,18802,35638,20251108
0.6,1.0,0.6,312,14.986,1,99,18986,65265,20365,65535,20251108
